model_name,valid_data,accuracy_score,f1_score
svc,train,0.9427762039660056,0.9459494673235702
lr,train,0.980169971671388,0.9814912092737466
knn,train,0.9427762039660056,0.9639972340274748
gbc,train,0.9807365439093484,0.9824304854722492
xgb,train,0.9875354107648724,0.9884062471647552
hpt_xgb,train,0.9920679886685552,0.9927071845883068
hpt_xgb_150,train,0.9892351274787536,0.9892861338476102
hpt_xgb_50,train,0.9881019830028328,0.9880900208297422
hpt_xgb,train,0.9926345609065156,0.993037271408142
test_hpt_xgb_top,test,0.9891230455472468,0.9896035762503672
all_hpt_xgb,test,0.9895738893925656,0.9904261658240412
all_hpt_depth_xgb,test,0.9904805077062556,0.991440813816029
walkingup_xgb_model,all,0.9981867633726201,0.9963352620553432
walkingup_xgb_model,all,0.9995466908431551,0.999087377974037
