CustomerID,RegisterDate,Gender,BirthYear,Addr1,Addr2,Age,AgeGroup,OrderID,Seq,OrderDate,ProductID,Qty,Amt,Year,Month,churn,Register,Visit_3M_Cnt,Amt_3M_sum
c328222,2014-09-25,F,1960.0,강원도,원주시,56.0,50.0,99.0,1.0,2016-07-12 00:00:00,p1149401,1.0,909.0,2016.0,7.0,0,2014-09-25,15.0,47979.0
c354310,2015-07-16,F,1964.0,강원도,원주시,52.0,50.0,181.0,3.0,2016-11-29 00:00:00,p1178011,1.0,8800.0,2016.0,11.0,1,2015-07-16,1.0,8800.0
c390828,2016-10-15,F,1984.0,강원도,원주시,32.0,30.0,49.0,14.0,2016-10-15 00:00:00,p1149411,1.0,1000.0,2016.0,10.0,1,2016-10-15,3.0,18172.0
c386399,2016-08-18,F,1972.0,강원도,원주시,44.0,40.0,121.0,4.0,2016-10-12 00:00:00,p1012581,3.0,3150.0,2016.0,10.0,1,2016-08-18,1.0,3150.0
c367116,2015-12-29,F,1970.0,강원도,원주시,46.0,40.0,169.0,3.0,2016-08-18 00:00:00,p1012581,1.0,1050.0,2016.0,8.0,0,2015-12-29,,
c334038,2014-11-21,F,1976.0,강원도,원주시,40.0,40.0,203.0,1.0,2016-09-22 00:00:00,p1144371,1.0,1850.0,2016.0,9.0,1,2014-11-21,2.0,9850.0
c345766,2015-04-12,M,1980.0,강원도,춘천시,36.0,30.0,135.0,2.0,2016-07-03 00:00:00,p1162631,1.0,4600.0,2016.0,7.0,0,2015-04-12,3.0,11950.0
c347955,2015-05-05,F,1957.0,강원도,춘천시,59.0,50.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-05-05,,
c351869,2015-06-17,F,1963.0,강원도,춘천시,53.0,50.0,193.0,7.0,2016-08-25 00:00:00,p1072601,1.0,4600.0,2016.0,8.0,1,2015-06-17,2.0,5300.0
c348599,2015-05-12,F,1973.0,강원도,춘천시,43.0,40.0,111.0,2.0,2016-07-06 00:00:00,p1006411,1.0,1091.0,2016.0,7.0,0,2015-05-12,1.0,-1000.0
c356995,2015-08-22,F,1967.0,강원도,춘천시,49.0,40.0,63.0,1.0,2016-07-03 00:00:00,p1030071,1.0,2450.0,2016.0,7.0,1,2015-08-22,,
c372227,2016-03-05,F,1981.0,강원도,춘천시,35.0,30.0,29.0,2.0,2016-09-10 00:00:00,p1127201,1.0,3727.0,2016.0,9.0,1,2016-03-05,,
c337831,2015-01-09,F,1984.0,강원도,춘천시,32.0,30.0,159.0,14.0,2016-07-01 00:00:00,p1144371,1.0,1250.0,2016.0,7.0,1,2015-01-09,,
c367221,2015-12-30,F,1984.0,강원도,화천군,32.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2015-12-30,,
c347315,2015-04-27,F,1971.0,강원도,횡성군,45.0,40.0,103.0,5.0,2016-10-30 00:00:00,p1005771,1.0,1850.0,2016.0,10.0,1,2015-04-27,2.0,3700.0
c339572,2015-01-31,F,1985.0,경기도,고양시,31.0,30.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0,2015-01-31,,
