단지코드,총세대수,지역,공가수,지하철역수,버스정류장수,등록차량수,전용면적_10_30,전용면적_30_40,전용면적_40_50,전용면적_50_100,전용면적 100이상,상가비율,아파트비율,공급유형_공공임대비율,공급유형_국민임대비율,공급유형_영구임대비율,공급유형_임대상가비율,공급유형_장기전세비율,공급유형_행복주택비율
C2483,900,경상북도,38.0,0.0,3.0,1015.0,0,149,0,751,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2515,545,경상남도,17.0,0.0,3.0,205.0,0,356,57,132,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1407,1216,대전광역시,13.0,1.0,1.0,1064.0,0,390,702,124,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1945,755,경기도,6.0,1.0,3.0,730.0,0,240,0,515,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1470,696,전라북도,14.0,0.0,2.0,553.0,0,254,196,246,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1898,566,전라북도,9.0,0.0,6.0,415.0,0,271,209,86,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1244,1722,경기도,10.0,0.0,10.0,1804.0,0,788,544,390,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1171,624,대전광역시,13.0,0.0,5.0,700.0,0,354,230,40,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2073,361,강원도,13.0,0.0,5.0,301.0,0,168,153,40,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2513,754,광주광역시,15.0,0.0,6.0,820.0,0,0,0,754,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1936,240,광주광역시,8.0,0.0,10.0,234.0,0,0,0,240,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2049,688,강원도,0.0,0.0,5.0,841.0,0,0,0,688,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2202,623,강원도,0.0,0.0,2.0,226.0,0,89,534,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C1925,601,강원도,9.0,0.0,4.0,75.0,298,301,0,1,0,0.009703872332385564,0.9902961276676144,0.0,0.0,1.0,0.009798960191069834,0.0,0.0
C2576,405,경상남도,19.0,0.0,4.0,73.0,0,0,313,92,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1312,518,충청남도,12.0,,3.0,359.0,0,149,368,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1874,619,충청남도,2.0,,2.0,62.0,462,151,3,3,0,0.049025647110969954,0.9509743528890301,0.0,0.0,1.0,0.051553069714268936,0.0,0.0
C2013,595,경상남도,3.0,0.0,3.0,91.0,0,327,267,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1424,625,대전광역시,2.0,,7.0,179.0,0,268,356,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2100,880,대전광역시,4.0,,5.0,671.0,0,0,0,880,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2520,970,대전광역시,2.0,,2.0,386.0,0,960,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2319,606,대전광역시,1.0,1.0,12.0,266.0,0,0,0,605,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1616,1507,대전광역시,1.0,,2.0,98.0,588,463,450,4,2,0.02902992191127329,0.9709700780887267,0.0,0.0,1.0,0.029897854286525763,0.0,0.0
C1704,639,대전광역시,34.0,,7.0,131.0,0,638,0,0,1,0.022661257725338793,0.9773387422746612,0.0,0.0,1.0,0.023186697452100294,0.0,0.0
C2258,965,대전광역시,13.0,,3.0,78.0,599,184,180,1,1,0.022866042992055493,0.9771339570079445,0.0,0.0,1.0,0.023401134335841716,0.0,0.0
C1032,946,대전광역시,6.0,1.0,2.0,316.0,0,68,69,809,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2038,785,대전광역시,7.0,1.0,10.0,108.0,599,94,90,1,1,0.029384417650369594,0.9706155823496304,0.0,0.0,1.0,0.03027400155604022,0.0,0.0
C1859,2424,대전광역시,1.0,1.0,4.0,116.0,1885,505,0,32,2,0.02938231797074729,0.9706176820292527,0.0,0.0,1.0,0.030271772825442675,0.0,0.0
C1722,809,강원도,1.0,0.0,6.0,649.0,149,243,416,1,0,0.007082034838521935,0.9929179651614781,0.7364823105702482,0.0,0.26351768942975184,0.007132547790461405,0.0,0.0
C1850,388,경상남도,0.0,0.0,4.0,254.0,0,89,296,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
C2190,1013,경상남도,7.0,0.0,2.0,129.0,860,151,2,0,0,0.016388265173051395,0.9836117348269486,0.0,0.0,1.0,0.016661315225092004,0.0,0.0
C1476,453,경상남도,6.0,0.0,5.0,70.0,298,154,0,1,0,0.018236972471311216,0.9817630275286888,0.0,0.0,1.0,0.018575737688164572,0.0,0.0
C1077,861,경상남도,21.0,0.0,5.0,236.0,0,258,277,326,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
