단지코드,총세대수,지역,공가수,지하철역수,버스정류장수,등록차량수,전용면적_10_30,전용면적_30_40,전용면적_40_50,전용면적_50_100,전용면적_100이상,임대보증금,임대료,상가비율,아파트비율,공급유형_공공임대비율,공급유형_국민임대비율,공급유형_영구임대비율,공급유형_임대상가비율,공급유형_장기전세비율,공급유형_행복주택비율
C2483,900,경상북도,38.0,0.0,3.0,1015.0,0,149,0,751,0,25669161.111111112,173838.8777777778,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2515,545,경상남도,17.0,0.0,3.0,205.0,0,356,57,132,0,14035965.137614679,119431.26605504587,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1407,1216,대전광역시,13.0,1.0,1.0,1064.0,0,390,702,124,0,27604981.907894738,171132.23684210525,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1945,755,경기도,6.0,1.0,3.0,730.0,0,240,0,515,0,22449145.695364237,187414.2119205298,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1470,696,전라북도,14.0,0.0,2.0,553.0,0,254,196,246,0,19393988.50574713,125449.22413793103,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1898,566,전라북도,9.0,0.0,6.0,415.0,0,271,209,86,0,17573065.371024735,119608.03886925794,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1244,1722,경기도,10.0,0.0,10.0,1804.0,0,788,544,390,0,38710689.89547038,265752.38095238095,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C1171,624,대전광역시,13.0,0.0,5.0,700.0,0,354,230,40,0,27334878.205128204,158131.66666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2073,361,강원도,13.0,0.0,5.0,301.0,0,168,153,40,0,14957110.8033241,185595.62326869805,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
C2513,754,광주광역시,15.0,0.0,6.0,820.0,0,0,0,754,0,32443000.0,192250.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
